AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time
3.35,8.14,17.1,0.09,-0.11,-0.1,1721743695190
3.16,-1.64,6.06,0.16,-0.41,-0.27,1721743695200
0.48,-0.34,4.62,0.03,-0.02,-0.25,1721743695209
2.02,1.61,8.16,0.08,-0.09,-0.28,1721743695218
-0.87,0.11,5.19,0.09,-0.31,-0.34,1721743695227
0.13,2.39,12.37,0.02,0.1,-0.47,1721743695236
-4.02,7.32,16.01,0.12,-0.38,-0.31,1721743695245
-3.16,0.46,8.43,-0.09,-0.18,-0.16,1721743695254
-1.22,-6.08,10.91,-0.19,-0.08,-0.17,1721743695263
-0.58,-6.82,11.52,0.01,-0.23,-0.08,1721743695272
1.75,4.98,11.05,0.28,0.06,-0.1,1721743695281
4.64,3.96,1.78,0.16,-0.2,-0.25,1721743695290
1.02,1.93,6.66,-0.09,0.09,-0.62,1721743695299
-3.29,-0.68,14.39,-0.09,-0.23,-0.62,1721743695308
-6.26,-1.67,16.84,0.04,-0.06,-0.37,1721743695317
-3.58,-2.99,16.12,0.21,-0.17,0.17,1721743695326
2.28,-2.2,5.15,0.16,0.01,0.25,1721743695335
8.65,5.58,4.1,0.11,0.2,-0.15,1721743695344
6.15,5.48,2.01,0.05,-0.13,-0.7,1721743695353
0.17,4.66,12.2,-0.1,0.16,-1.06,1721743695362
-7.21,2.53,19.93,0.14,-0.18,-0.8,1721743695372
-8.44,-8.24,10.15,-0.0,-0.15,-0.21,1721743695381
-4.04,-0.55,15.44,0.05,0.36,0.21,1721743695390
3.34,5.06,12.5,0.26,0.05,0.18,1721743695399
6.35,10.4,4.46,0.16,0.19,-0.39,1721743695408
4.09,7.04,-0.56,-0.15,-0.03,-0.82,1721743695417
-1.23,-10.19,7.88,-0.59,0.19,-1.05,1721743695426
-10.66,-10.89,32.18,-0.09,-0.04,-0.81,1721743695435
-11.12,-2.44,19.39,0.53,-0.26,0.09,1721743695444
-2.07,5.5,-2.18,0.13,0.24,0.66,1721743695453
6.19,0.57,2.94,-0.37,0.32,0.4,1721743695462
6.97,7.95,17.78,-0.01,0.17,-0.37,1721743695471
4.69,-0.19,5.71,0.1,-0.26,-0.77,1721743695480
-2.56,-6.08,2.76,-0.19,0.09,-0.81,1721743695490
-4.44,4.16,20.0,0.01,0.28,-0.46,1721743695499
-4.9,15.32,12.34,0.39,-0.07,0.05,1721743695508
