AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
-3.63,4.26,12.07,0.26,-0.1,-0.03,1721396036442,paving_stone
0.45,1.12,9.58,0.06,0.25,0.07,1721396036452,paving_stone
1.68,15.75,12.22,0.37,-0.0,-0.04,1721396036462,paving_stone
3.0,1.41,4.22,-0.13,0.03,-0.04,1721396036472,paving_stone
-0.16,-2.41,13.53,-0.24,0.09,-0.26,1721396036482,paving_stone
-1.25,-4.51,1.0,-0.11,-0.04,-0.28,1721396036492,paving_stone
-1.9,-0.68,12.84,-0.26,0.39,-0.36,1721396036502,paving_stone
-3.95,-4.36,8.3,-0.12,-0.29,-0.11,1721396036512,paving_stone
-3.28,-1.27,16.27,-0.32,0.29,-0.02,1721396036522,paving_stone
0.86,-2.21,14.65,-0.2,-0.05,0.13,1721396036532,paving_stone
1.93,-3.12,5.75,-0.25,0.01,0.03,1721396036542,paving_stone
0.82,-5.48,10.56,-0.16,0.1,-0.39,1721396036552,paving_stone
-2.1,2.65,-0.55,0.42,-0.13,-0.26,1721396036562,paving_stone
-0.09,-3.36,3.73,-0.26,0.41,-0.24,1721396036572,paving_stone
-3.41,13.55,17.12,0.01,-0.15,-0.19,1721396036582,paving_stone
1.72,-9.64,10.53,-0.44,0.04,-0.19,1721396036592,paving_stone
-2.52,-4.76,22.08,-0.49,0.07,-0.2,1721396036602,paving_stone
-2.43,0.97,12.82,-0.16,-0.1,-0.2,1721396036612,paving_stone
-0.37,1.19,13.15,-0.09,-0.04,0.13,1721396036622,paving_stone
2.16,1.0,5.7,0.09,-0.06,0.26,1721396036632,paving_stone
4.73,1.59,8.88,-0.09,0.21,-0.09,1721396036642,paving_stone
0.51,9.87,9.84,0.1,-0.13,-0.46,1721396036652,paving_stone
-2.61,-10.87,5.17,-0.19,-0.01,-0.42,1721396036662,paving_stone
-6.5,-4.46,20.45,-0.16,0.12,-0.3,1721396036672,paving_stone
-6.01,-2.44,4.74,0.15,-0.26,0.06,1721396036682,paving_stone
-1.11,-5.37,16.7,-0.19,0.4,0.12,1721396036692,paving_stone
2.54,2.21,14.32,0.26,-0.26,0.18,1721396036702,paving_stone
1.51,1.36,12.29,-0.06,0.1,-0.03,1721396036712,paving_stone
-0.47,11.21,15.96,0.22,-0.19,-0.19,1721396036722,paving_stone
0.04,3.26,6.45,0.09,-0.11,-0.05,1721396036732,paving_stone
-0.16,-9.52,11.06,-0.12,0.02,-0.12,1721396036742,paving_stone
0.64,7.34,9.1,0.35,-0.03,-0.11,1721396036752,paving_stone
-0.95,-6.81,-0.25,0.27,-0.01,-0.1,1721396036762,paving_stone
-3.47,5.12,12.43,0.26,0.11,-0.14,1721396036772,paving_stone
-4.44,-0.34,2.74,0.13,-0.41,-0.02,1721396036782,paving_stone
-3.21,-6.88,16.35,-0.27,0.24,0.09,1721396036792,paving_stone
-0.26,1.95,11.58,0.13,-0.15,0.04,1721396036802,paving_stone
2.35,-4.05,9.26,-0.17,-0.01,-0.05,1721396036812,paving_stone
-0.86,-3.38,13.97,0.07,-0.4,0.04,1721396036822,paving_stone
-0.65,4.89,6.31,0.29,-0.1,0.16,1721396036832,paving_stone
1.59,5.61,6.37,0.17,-0.09,0.13,1721396036842,paving_stone
1.14,0.16,7.42,-0.02,-0.14,-0.05,1721396036852,paving_stone
