AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
-4.37,-1.78,15.39,-0.23,0.03,-0.4,1721743301806,paving_stone
-5.55,5.01,19.56,0.07,0.12,-0.29,1721743301816,paving_stone
-2.0,-4.59,4.09,-0.0,-0.13,0.04,1721743301826,paving_stone
-0.5,-0.2,11.82,-0.17,0.4,0.14,1721743301836,paving_stone
3.88,3.72,19.96,-0.03,0.2,-0.02,1721743301845,paving_stone
0.41,-0.07,12.05,0.05,-0.14,-0.44,1721743301855,paving_stone
-3.7,-1.77,2.7,0.15,-0.05,-0.41,1721743301865,paving_stone
-3.65,-8.13,4.92,-0.19,0.29,-0.04,1721743301875,paving_stone
-4.0,7.61,16.05,0.08,0.13,0.29,1721743301885,paving_stone
1.36,3.71,4.64,0.15,-0.07,0.12,1721743301895,paving_stone
2.49,-7.2,1.46,-0.15,0.11,-0.24,1721743301905,paving_stone
1.04,-3.98,15.06,-0.13,0.25,-0.3,1721743301915,paving_stone
-1.49,4.92,16.73,0.15,0.04,-0.24,1721743301925,paving_stone
-2.15,4.52,7.95,0.1,0.01,-0.2,1721743301935,paving_stone
-4.18,1.41,8.89,0.0,0.09,-0.02,1721743301945,paving_stone
-1.47,-2.63,12.93,-0.07,0.14,0.2,1721743301955,paving_stone
3.05,2.16,18.87,0.03,0.31,0.15,1721743301965,paving_stone
1.48,0.05,10.33,0.13,-0.24,-0.24,1721743301975,paving_stone
-0.56,4.51,8.59,0.15,0.21,-0.31,1721743301985,paving_stone
-0.59,0.33,9.15,0.14,-0.01,0.01,1721743301995,paving_stone
-0.95,2.64,9.07,0.14,0.13,0.12,1721743302005,paving_stone
2.1,2.59,10.05,0.13,0.2,-0.16,1721743302015,paving_stone
-1.74,2.14,8.85,0.08,-0.06,-0.34,1721743302025,paving_stone
-5.65,2.26,10.1,0.02,0.12,-0.2,1721743302035,paving_stone
-4.95,-2.55,13.24,-0.04,0.06,0.15,1721743302045,paving_stone
-1.7,-4.1,14.33,-0.06,0.11,0.39,1721743302055,paving_stone
1.95,3.5,8.95,0.14,0.02,0.39,1721743302065,paving_stone
5.13,3.98,6.61,-0.01,0.2,0.02,1721743302075,paving_stone
-0.35,-1.21,11.28,-0.05,-0.15,-0.33,1721743302085,paving_stone
-3.22,-4.18,11.53,0.04,0.17,-0.36,1721743302095,paving_stone
-5.26,5.26,7.97,0.21,-0.09,0.09,1721743302105,paving_stone
-2.03,2.77,2.55,-0.05,0.11,0.45,1721743302115,paving_stone
-0.11,1.13,11.03,-0.19,0.2,0.42,1721743302124,paving_stone
2.71,-0.84,9.99,-0.03,-0.01,0.17,1721743302134,paving_stone
0.25,-0.53,8.75,-0.31,-0.08,-0.08,1721743302144,paving_stone
-2.93,-0.11,15.25,-0.3,0.06,-0.07,1721743302154,paving_stone
-1.47,-3.54,14.65,-0.33,0.03,0.1,1721743302164,paving_stone
-1.78,-2.13,9.37,-0.27,-0.21,0.38,1721743302174,paving_stone
1.82,0.52,7.56,-0.19,0.21,0.26,1721743302184,paving_stone
3.8,-1.68,9.6,-0.27,-0.02,0.02,1721743302194,paving_stone
-0.84,6.35,14.37,-0.13,-0.03,-0.26,1721743302204,paving_stone
-2.09,-4.91,10.85,-0.29,-0.16,-0.11,1721743302214,paving_stone
-4.96,1.1,12.12,-0.2,0.08,-0.02,1721743302224,paving_stone
0.33,-8.0,8.25,-0.26,-0.08,0.25,1721743302234,paving_stone
-2.49,3.39,14.53,-0.14,0.01,0.2,1721743302244,paving_stone
4.07,3.07,10.05,0.08,0.02,0.13,1721743302254,paving_stone
1.34,4.04,5.61,-0.05,-0.03,0.01,1721743302263,paving_stone
0.8,-1.37,9.87,-0.04,0.01,-0.13,1721743302272,paving_stone
-0.13,-2.47,11.13,-0.05,-0.01,0.01,1721743302282,paving_stone
-1.56,6.29,9.68,0.14,-0.01,0.06,1721743302291,paving_stone
1.89,-2.02,2.29,0.12,-0.02,0.23,1721743302301,paving_stone
1.02,-1.56,9.18,-0.09,0.2,0.04,1721743302310,paving_stone
0.73,2.03,16.9,0.12,-0.04,-0.01,1721743302320,paving_stone
