AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time
1.09,-2.3,17.84,-0.22,0.18,-0.58,1721206243631
-2.56,0.34,20.08,-0.08,-0.07,-0.57,1721206243635
-3.69,4.37,13.96,0.17,-0.07,-0.32,1721206243644
-1.9,-3.44,1.87,-0.18,-0.0,0.08,1721206243654
1.26,-3.56,7.92,-0.47,0.19,0.18,1721206243663
4.73,-2.1,15.21,-0.24,0.11,-0.13,1721206243673
4.19,-2.61,8.34,-0.17,-0.06,-0.48,1721206243682
-1.18,-3.99,9.22,-0.32,0.05,-0.65,1721206243692
-4.49,-2.87,13.32,-0.34,-0.0,-0.38,1721206243701
-3.66,-2.15,12.45,-0.29,0.06,0.11,1721206243711
0.64,-0.68,7.86,-0.26,0.13,0.22,1721206243720
4.84,0.59,10.07,-0.34,0.24,-0.11,1721206243730
3.04,0.22,13.43,-0.4,0.0,-0.44,1721206243739
-1.31,-0.39,13.74,-0.37,-0.05,-0.46,1721206243749
-1.9,-0.28,10.26,-0.28,0.12,-0.31,1721206243758
-1.61,-0.97,6.84,-0.3,0.08,-0.13,1721206243768
-0.54,-1.32,10.03,-0.26,0.18,-0.17,1721206243777
-0.12,4.85,13.94,-0.09,0.08,-0.24,1721206243787
-0.2,3.7,14.31,-0.03,0.1,-0.25,1721206243796
-1.07,1.83,12.78,-0.05,0.08,-0.19,1721206243806
-0.73,4.97,14.63,0.03,0.14,-0.1,1721206243815
-0.01,1.99,10.54,0.14,0.03,-0.17,1721206243825
-0.81,-3.23,9.45,0.05,0.06,-0.27,1721206243834
-0.83,2.19,13.62,0.22,0.14,-0.22,1721206243844
-0.79,5.16,10.69,0.31,0.06,-0.15,1721206243853
-1.19,-2.46,10.63,0.12,0.11,-0.18,1721206243863
-2.38,0.66,11.13,0.33,-0.03,-0.13,1721206243872
-0.14,-0.4,9.01,0.3,0.22,-0.03,1721206243882
-0.59,-0.89,9.9,0.28,0.04,-0.11,1721206243892
0.11,0.88,10.9,0.31,0.16,-0.14,1721206243902
0.06,2.11,12.26,0.31,0.12,-0.18,1721206243912
-1.65,2.16,7.44,0.28,-0.02,-0.25,1721206243922
-2.12,-1.76,5.71,0.16,0.13,-0.2,1721206243932
-1.04,-6.52,8.87,0.09,0.19,-0.04,1721206243942
-0.44,-1.86,12.7,0.1,0.16,-0.03,1721206243952
-0.32,5.2,6.51,0.39,-0.04,-0.12,1721206243962
1.03,0.51,0.62,0.09,0.2,-0.18,1721206243972
-0.67,-4.49,9.86,-0.16,0.1,-0.18,1721206243982
-1.75,-1.24,15.63,0.05,0.08,-0.15,1721206243992
-0.34,0.97,7.9,0.17,0.1,-0.02,1721206244002
0.57,-2.76,6.22,-0.2,0.19,-0.05,1721206244012
-0.57,-0.89,20.74,-0.04,0.12,-0.18,1721206244022
-0.67,3.12,7.9,0.35,-0.07,-0.09,1721206244032
2.12,-2.26,8.9,-0.31,0.34,-0.03,1721206244042
-0.49,1.82,20.51,-0.03,-0.2,0.05,1721206244052
-0.14,6.17,3.46,0.22,0.03,-0.13,1721206244062
1.31,-0.2,7.14,-0.18,0.3,-0.22,1721206244072
-2.85,2.47,12.54,0.08,-0.16,-0.1,1721206244082
-4.0,2.36,3.97,0.02,0.17,0.02,1721206244092
-1.36,-0.09,11.91,-0.09,0.15,0.12,1721206244102
0.94,-1.47,12.08,-0.01,0.06,0.2,1721206244112
1.96,2.92,14.27,0.07,0.16,0.11,1721206244122
2.07,4.32,9.83,0.22,-0.05,-0.04,1721206244132
0.57,2.15,5.53,0.09,0.06,-0.14,1721206244142
-2.21,1.34,7.26,0.1,0.06,-0.19,1721206244152
-2.2,-0.57,10.38,-0.03,0.19,-0.07,1721206244162
-2.89,1.57,9.23,0.13,0.03,0.1,1721206244172
-0.33,-5.32,3.1,-0.14,0.08,0.15,1721206244182
-1.45,-4.47,15.77,-0.26,-0.04,0.12,1721206244192
0.33,2.79,15.43,0.11,0.04,0.05,1721206244202
2.17,1.03,7.87,-0.05,0.05,-0.0,1721206244212
-3.16,1.19,12.93,-0.22,-0.05,-0.13,1721206244222
-1.99,-1.17,10.48,-0.15,0.01,-0.05,1721206244232
-1.87,0.3,7.22,-0.12,-0.07,0.17,1721206244242
-0.57,-2.15,6.71,-0.2,0.04,0.31,1721206244252
1.88,-8.4,6.94,-0.26,0.05,0.19,1721206244262
1.66,1.03,13.24,-0.11,-0.07,0.0,1721206244272
1.72,5.45,14.58,-0.04,-0.04,-0.01,1721206244282
-0.11,1.63,10.32,-0.09,-0.11,-0.04,1721206244292
-0.55,1.12,8.41,-0.02,0.01,-0.09,1721206244302
-0.68,-1.51,5.5,-0.08,-0.04,-0.04,1721206244312
-2.55,-0.32,12.0,-0.18,-0.05,0.03,1721206244322
-0.48,0.55,12.66,-0.01,-0.01,0.18,1721206244332
0.68,-0.39,8.65,-0.05,-0.05,0.18,1721206244342
0.8,-0.22,13.24,-0.22,-0.02,-0.01,1721206244352
0.6,1.49,14.68,-0.01,-0.14,-0.05,1721206244362
0.82,3.99,10.85,-0.0,0.01,-0.09,1721206244372
0.43,-0.72,10.22,-0.0,-0.04,-0.03,1721206244382
-1.12,-4.3,5.72,0.02,-0.1,-0.02,1721206244392
-0.69,-0.03,13.68,-0.02,0.04,-0.04,1721206244402
0.56,4.03,16.73,0.13,-0.05,0.06,1721206244412
1.62,4.99,9.71,0.25,-0.04,0.08,1721206244422
2.21,-6.23,7.09,-0.1,-0.01,-0.13,1721206244432
-0.07,2.25,16.0,0.11,-0.03,-0.17,1721206244442
-0.02,1.81,7.38,0.15,0.03,-0.15,1721206244452
-1.28,-3.05,7.09,0.02,-0.04,-0.04,1721206244462
-0.11,0.17,12.28,0.1,0.07,0.06,1721206244472
1.94,4.66,8.27,0.25,0.01,0.03,1721206244482
2.09,0.41,7.29,0.02,0.06,-0.1,1721206244492
0.28,-3.78,11.15,-0.09,0.02,-0.18,1721206244502
-1.59,4.2,13.54,0.06,0.02,-0.21,1721206244512
-1.39,5.77,7.91,0.08,-0.03,-0.01,1721206244522
0.42,-14.6,6.25,-0.31,0.06,0.08,1721206244532
1.18,-7.47,17.08,0.03,0.19,-0.12,1721206244542
0.45,3.09,7.76,0.51,-0.15,-0.15,1721206244552
0.17,4.5,10.67,0.09,0.24,-0.35,1721206244562
-2.63,21.0,19.92,0.55,-0.22,-0.22,1721206244572
-4.09,1.37,-5.32,-0.2,-0.14,0.01,1721206244582
2.74,-17.66,19.41,-0.84,0.65,0.0,1721206244592
1.32,11.14,24.2,0.34,-0.17,0.27,1721206244602
5.96,0.54,-6.47,0.05,0.21,-0.06,1721206244612
2.01,-4.15,8.22,-0.11,0.07,-0.64,1721206244622
-1.72,-0.44,10.58,0.13,-0.02,-0.53,1721206244632
-6.49,6.51,17.53,-0.1,-0.02,-0.01,1721206244642
-2.68,6.88,12.85,0.15,-0.04,0.48,1721206244652
3.5,-2.34,3.26,-0.03,0.15,0.3,1721206244662
5.66,1.35,9.38,0.06,0.15,-0.29,1721206244672
3.9,-0.04,10.84,-0.01,0.04,-0.52,1721206244682
-2.26,2.82,13.7,0.06,-0.07,-0.37,1721206244692
-4.81,0.59,6.76,0.06,-0.05,-0.13,1721206244702
-3.74,-18.6,17.79,-0.83,0.1,0.1,1721206244712
-0.16,25.2,29.02,1.04,-0.13,0.51,1721206244722
8.15,-6.27,-30.9,0.71,-0.24,0.27,1721206244732
0.08,3.25,-12.42,-0.46,1.29,-0.87,1721206244742
4.13,-23.27,31.69,-1.07,0.09,-0.96,1721206244752
-12.97,0.78,53.6,0.34,-1.0,0.13,1721206244762
-5.17,0.44,-11.37,0.69,-0.1,0.62,1721206244772
6.65,-3.39,2.76,-1.01,0.71,0.39,1721206244782
-13.23,2.63,33.73,-0.15,-0.16,0.06,1721206244792
8.18,-1.98,-0.29,0.31,0.16,-0.5,1721206244802
-1.21,-3.35,5.77,-0.11,-0.25,-0.83,1721206244812
-8.95,0.4,9.23,-0.08,0.03,-0.56,1721206244822
-6.71,1.11,19.42,-0.29,0.21,0.33,1721206244832
-0.6,6.85,15.39,0.1,0.03,0.54,1721206244842
4.87,-3.56,-0.95,-0.04,-0.03,0.15,1721206244852
4.05,-5.58,7.71,-0.24,0.18,-0.27,1721206244862
1.25,4.97,20.03,-0.02,-0.04,-0.49,1721206244872
-3.47,4.1,11.73,0.1,-0.14,-0.38,1721206244882
-5.75,-0.32,7.25,0.02,0.01,-0.02,1721206244892
-1.11,-6.49,8.8,0.0,0.12,0.25,1721206244902
2.25,2.13,11.26,0.16,0.01,0.31,1721206244912
5.7,6.52,13.53,0.16,0.25,-0.13,1721206244922
0.86,1.06,10.17,0.17,-0.24,-0.47,1721206244932
-4.98,-0.34,9.14,0.16,0.11,-0.4,1721206244942
-3.68,-5.12,9.41,0.11,0.04,0.07,1721206244952
-0.42,1.43,13.44,0.14,0.07,0.32,1721206244962
3.21,4.12,12.2,0.22,0.03,0.06,1721206244972
2.16,3.38,8.64,0.31,-0.11,-0.25,1721206244982
-0.36,3.4,9.29,0.17,0.1,-0.43,1721206244992
-3.25,-2.3,10.39,0.1,-0.08,-0.2,1721206245002
-4.43,0.11,7.29,0.12,0.01,0.03,1721206245012
-0.43,-0.75,8.09,0.06,0.08,0.13,1721206245022
0.76,0.79,10.24,0.1,0.0,-0.0,1721206245032
1.16,1.57,6.97,0.21,0.02,-0.1,1721206245042
1.3,0.55,8.14,-0.04,0.08,-0.17,1721206245052
0.26,0.25,17.65,-0.05,0.01,-0.14,1721206245062
-0.45,-1.41,9.5,0.17,-0.11,-0.12,1721206245072
0.84,2.17,6.62,0.16,0.13,-0.12,1721206245082
2.48,1.2,5.05,-0.0,0.07,-0.12,1721206245092
0.23,1.05,9.85,-0.06,0.02,-0.28,1721206245102
-0.05,-2.14,11.94,-0.09,0.19,-0.34,1721206245112
-2.51,0.44,13.3,-0.07,0.01,-0.27,1721206245122
-3.0,3.34,13.39,0.01,0.13,-0.11,1721206245132
-1.32,-0.3,4.91,-0.1,-0.02,0.05,1721206245142
-1.03,2.06,9.03,-0.23,0.12,-0.02,1721206245152
