AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
-1.45,-6.09,8.19,-0.31,0.06,0.02,1721743594586,paving_stone
-1.54,-3.51,15.41,-0.04,0.02,-0.03,1721743594595,paving_stone
-1.16,-0.32,11.57,-0.04,-0.11,-0.02,1721743594604,paving_stone
-1.49,1.08,14.18,0.02,0.04,-0.04,1721743594613,paving_stone
-1.92,-3.59,10.08,0.08,-0.16,-0.01,1721743594622,paving_stone
-1.7,-3.29,11.48,-0.04,0.08,-0.09,1721743594631,paving_stone
-2.19,4.02,11.66,0.26,-0.14,0.06,1721743594640,paving_stone
0.09,-2.52,1.02,-0.06,0.07,0.15,1721743594649,paving_stone
0.57,-5.33,6.82,-0.21,0.01,0.19,1721743594658,paving_stone
2.61,0.26,12.45,-0.03,0.07,0.05,1721743594667,paving_stone
1.8,4.63,11.86,-0.01,-0.09,0.02,1721743594676,paving_stone
2.63,2.15,13.21,-0.22,-0.0,0.06,1721743594685,paving_stone
1.09,2.94,18.91,-0.06,-0.04,-0.13,1721743594694,paving_stone
-0.99,0.27,15.49,-0.05,-0.2,-0.25,1721743594703,paving_stone
-3.95,8.94,14.01,0.01,-0.16,-0.11,1721743594712,paving_stone
-3.21,2.95,5.98,-0.1,-0.23,0.23,1721743594721,paving_stone
-0.1,2.22,11.3,-0.25,-0.0,0.23,1721743594730,paving_stone
1.38,6.11,11.98,-0.1,-0.21,0.13,1721743594739,paving_stone
2.1,3.8,9.91,-0.14,-0.13,-0.02,1721743594748,paving_stone
1.44,3.2,13.59,-0.07,-0.08,-0.09,1721743594757,paving_stone
0.42,0.86,5.47,-0.03,-0.17,0.08,1721743594766,paving_stone
4.3,-6.71,4.63,-0.33,0.08,0.56,1721743594775,paving_stone
5.49,-4.19,9.96,-0.27,0.31,0.1,1721743594784,paving_stone
1.81,1.96,14.66,-0.1,-0.1,-0.43,1721743594793,paving_stone
-3.3,-2.97,12.15,-0.04,-0.08,-0.2,1721743594802,paving_stone
-7.82,-1.76,11.28,0.06,0.02,0.16,1721743594811,paving_stone
-2.75,-7.79,10.33,-0.1,0.02,0.6,1721743594820,paving_stone
1.21,-1.92,16.6,-0.02,0.13,0.56,1721743594829,paving_stone
4.86,0.89,10.16,0.27,-0.16,0.31,1721743594838,paving_stone
7.76,-0.21,2.39,0.0,0.03,0.05,1721743594847,paving_stone
3.78,-1.0,11.12,-0.06,-0.02,-0.32,1721743594856,paving_stone
0.05,1.02,8.46,0.15,-0.08,-0.41,1721743594866,paving_stone
-3.09,2.76,7.95,-0.02,0.08,-0.16,1721743594875,paving_stone
-2.0,3.46,12.35,0.0,0.15,0.13,1721743594884,paving_stone
1.78,-2.72,10.82,-0.01,0.12,0.11,1721743594893,paving_stone
1.64,0.72,13.75,0.04,0.15,-0.1,1721743594902,paving_stone
3.42,6.91,11.62,0.21,0.07,-0.06,1721743594912,paving_stone
1.55,4.7,7.5,0.04,0.05,-0.18,1721743594921,paving_stone
0.26,0.87,14.95,0.0,0.2,-0.24,1721743594930,paving_stone
-1.89,1.4,14.41,0.21,0.09,-0.12,1721743594939,paving_stone
-0.2,7.95,7.88,0.28,0.2,-0.01,1721743594948,paving_stone
0.79,2.6,3.4,0.07,0.2,-0.1,1721743594957,paving_stone
0.83,-3.47,6.14,-0.08,0.15,-0.27,1721743594966,paving_stone
-1.25,-3.78,11.43,-0.06,0.16,-0.21,1721743594975,paving_stone
-1.66,8.35,14.93,0.19,0.22,-0.16,1721743594984,paving_stone
