AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
14.27,7.55,3.25,0.49,0.4,0.27,1721397176670,cobblestone
10.32,2.34,5.89,-0.08,0.47,-0.21,1721397176675,cobblestone
12.35,-1.54,32.06,-0.71,-0.4,-0.86,1721397176685,cobblestone
-11.37,5.88,37.55,-0.06,-1.02,-0.88,1721397176695,cobblestone
-5.82,-11.34,2.01,0.31,-0.35,-0.38,1721397176704,cobblestone
-11.74,18.05,-1.71,-0.2,0.36,0.41,1721397176714,cobblestone
-0.01,6.42,-2.9,0.17,0.37,1.01,1721397176724,cobblestone
0.69,-3.72,19.08,-0.38,0.5,0.28,1721397176734,cobblestone
1.71,-12.66,24.2,-0.12,-0.36,-0.19,1721397176743,cobblestone
-0.07,-10.58,8.54,-0.42,0.23,-0.75,1721397176753,cobblestone
-7.94,-1.27,10.85,-0.2,-0.31,-0.38,1721397176762,cobblestone
-5.19,14.44,9.39,0.21,0.32,0.09,1721397176772,cobblestone
-5.62,-10.37,9.06,-0.45,-0.03,0.32,1721397176782,cobblestone
3.18,0.98,28.23,-0.12,0.26,0.13,1721397176792,cobblestone
8.51,7.39,9.9,-0.06,0.16,0.36,1721397176802,cobblestone
2.77,-9.04,5.51,-0.63,0.16,0.16,1721397176812,cobblestone
-3.56,-12.25,8.26,0.04,-0.11,-0.19,1721397176822,cobblestone
-4.43,-12.39,-0.74,0.35,0.03,-0.11,1721397176832,cobblestone
-3.91,2.36,9.76,0.46,-0.1,0.29,1721397176842,cobblestone
5.52,17.03,24.38,0.01,0.32,0.7,1721397176852,cobblestone
-0.23,28.31,18.15,-0.31,-0.52,0.66,1721397176862,cobblestone
7.18,-3.6,3.34,-0.34,0.4,-0.01,1721397176872,cobblestone
-3.07,-26.59,-6.74,-0.41,-0.35,-0.33,1721397176882,cobblestone
-6.04,-10.78,18.59,0.2,0.03,-0.14,1721397176892,cobblestone
-7.97,-10.96,6.44,0.53,-0.61,0.63,1721397176902,cobblestone
3.12,-5.97,20.4,0.38,0.68,0.79,1721397176911,cobblestone
3.86,34.46,13.77,0.96,-0.8,1.0,1721397176921,cobblestone
13.6,26.93,0.84,-0.05,0.66,0.72,1721397176931,cobblestone
8.89,-11.02,10.41,-1.17,0.06,-0.54,1721397176941,cobblestone
-8.29,-39.59,26.43,-0.39,-1.06,-1.66,1721397176951,cobblestone
-15.0,-6.89,16.92,0.43,-0.48,0.19,1721397176961,cobblestone
-10.63,-9.42,5.78,0.53,0.3,1.33,1721397176971,cobblestone
1.89,7.97,-1.39,1.26,-0.2,1.42,1721397176981,cobblestone
13.8,35.51,10.37,0.47,0.43,0.74,1721397176991,cobblestone
8.69,47.08,12.5,-0.17,-0.28,0.12,1721397177001,cobblestone
8.81,-41.16,0.83,-1.03,-0.03,-0.69,1721397177011,cobblestone
-2.17,-28.89,32.28,-0.67,0.39,-1.24,1721397177021,cobblestone
-11.15,7.68,6.15,0.69,-0.86,-0.2,1721397177031,cobblestone
-5.98,-5.13,2.72,-0.12,0.61,0.32,1721397177041,cobblestone
2.1,44.28,6.29,0.87,-0.43,0.91,1721397177051,cobblestone
2.51,17.91,-22.69,-0.29,0.71,0.93,1721397177061,cobblestone
15.14,-14.12,10.59,-1.61,0.88,-0.05,1721397177071,cobblestone
2.81,-30.05,54.21,-0.83,-0.15,-1.67,1721397177081,cobblestone
-14.05,7.47,25.19,0.37,-1.08,-1.44,1721397177091,cobblestone
-18.32,-4.23,-4.92,0.27,-0.16,0.23,1721397177101,cobblestone
-11.13,6.43,-2.63,0.7,-0.35,1.9,1721397177111,cobblestone
9.65,-5.45,2.0,0.61,0.37,1.65,1721397177121,cobblestone
17.14,30.66,19.87,0.37,0.25,0.59,1721397177131,cobblestone
11.57,2.52,10.27,-0.76,-0.28,-0.64,1721397177141,cobblestone
5.35,-7.6,18.76,-1.06,0.19,-1.74,1721397177151,cobblestone
-5.84,-17.72,13.07,-0.42,-0.72,-1.17,1721397177161,cobblestone
-14.86,-2.71,3.58,0.27,-0.17,0.06,1721397177171,cobblestone
-4.04,6.01,-5.02,1.09,-0.18,1.08,1721397177181,cobblestone
4.41,-1.09,3.03,0.14,0.57,1.23,1721397177191,cobblestone
11.62,21.13,25.59,-0.25,0.7,0.21,1721397177201,cobblestone
6.38,-34.37,16.67,-1.37,-0.59,-1.11,1721397177211,cobblestone
-6.11,-3.51,35.93,-1.0,0.01,-2.37,1721397177221,cobblestone
-16.92,-8.1,13.76,0.39,-0.92,-1.07,1721397177231,cobblestone
-20.36,-14.28,-9.68,-0.01,0.19,0.93,1721397177241,cobblestone
5.09,7.22,21.51,0.14,0.69,1.74,1721397177251,cobblestone
12.21,27.83,12.0,0.83,0.24,1.47,1721397177261,cobblestone
