AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
13.14,-28.42,9.84,-0.79,0.0,-0.41,1721228096462,cobblestone
-0.02,-18.98,24.12,0.55,-0.17,-1.53,1721228096472,cobblestone
-10.76,-2.58,12.94,0.75,-1.15,-1.23,1721228096482,cobblestone
-15.15,16.51,27.85,0.53,0.06,0.28,1721228096492,cobblestone
-1.97,34.25,11.75,0.7,-0.08,1.45,1721228096502,cobblestone
11.33,-0.01,-37.89,-0.41,0.2,0.73,1721228096512,cobblestone
8.97,-50.88,-3.53,-2.05,0.52,-0.44,1721228096522,cobblestone
-11.79,-16.24,78.45,-0.99,0.29,-1.67,1721228096532,cobblestone
-19.38,44.06,18.52,3.16,-1.47,-0.73,1721228096542,cobblestone
-5.92,-8.98,-46.62,0.26,0.34,0.63,1721228096552,cobblestone
2.37,25.23,33.61,-0.71,0.75,1.74,1721228096562,cobblestone
15.8,-6.85,-13.72,0.5,-0.47,0.55,1721228096572,cobblestone
15.81,9.49,-14.8,0.08,0.64,-1.01,1721228096582,cobblestone
-10.92,-8.99,4.09,-0.09,-0.6,-0.78,1721228096592,cobblestone
-6.64,-27.45,28.31,-0.7,0.48,-0.94,1721228096602,cobblestone
-21.99,4.17,51.44,0.68,-0.75,-0.57,1721228096612,cobblestone
-13.0,2.28,2.48,0.84,-0.3,1.38,1721228096622,cobblestone
3.1,22.38,6.55,0.65,0.46,2.3,1721228096632,cobblestone
18.59,14.99,-27.62,-0.08,-0.01,0.63,1721228096642,cobblestone
16.37,-27.5,-15.11,-0.92,0.32,-1.21,1721228096652,cobblestone
-3.63,21.48,8.54,0.1,-0.5,-1.46,1721228096662,cobblestone
-7.09,-12.89,17.64,-0.77,0.57,-0.45,1721228096672,cobblestone
-10.84,-0.23,77.33,0.21,-0.72,0.26,1721228096682,cobblestone
-4.04,-17.13,3.66,0.77,-1.08,2.1,1721228096692,cobblestone
18.45,16.78,-16.94,-0.45,1.99,1.78,1721228096702,cobblestone
17.23,-3.56,6.83,-0.08,-0.69,0.78,1721228096712,cobblestone
14.16,-19.69,6.96,-0.23,0.67,-1.32,1721228096722,cobblestone
-2.55,18.66,7.3,1.45,-0.96,-1.69,1721228096732,cobblestone
