AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
-1.73,1.15,8.9,0.07,0.06,-0.05,1721379007500,asphalt
-1.96,0.47,10.24,0.02,0.13,-0.01,1721379007510,asphalt
-0.92,0.75,8.53,0.07,0.06,0.07,1721379007520,asphalt
0.12,-0.16,9.55,-0.01,0.14,0.08,1721379007530,asphalt
0.57,-0.94,9.89,0.04,0.04,-0.0,1721379007540,asphalt
0.54,0.2,8.37,0.01,0.08,0.03,1721379007550,asphalt
-0.41,-0.84,9.94,0.01,0.06,-0.01,1721379007560,asphalt
-0.07,0.28,8.08,0.05,0.01,0.04,1721379007570,asphalt
0.48,-0.6,10.27,-0.06,0.11,0.06,1721379007580,asphalt
-0.22,-0.26,9.94,-0.02,-0.0,0.09,1721379007590,asphalt
0.36,-2.1,9.81,-0.14,0.12,-0.05,1721379007600,asphalt
-1.1,0.58,10.52,-0.07,-0.01,-0.01,1721379007610,asphalt
-0.49,-2.19,9.08,-0.17,0.09,0.11,1721379007620,asphalt
-1.18,1.15,11.08,-0.04,-0.06,0.17,1721379007630,asphalt
1.52,-1.18,10.32,-0.11,0.1,0.13,1721379007640,asphalt
0.73,1.31,11.28,-0.06,-0.1,0.12,1721379007650,asphalt
0.95,0.42,11.39,-0.11,0.08,-0.02,1721379007660,asphalt
-0.77,0.49,11.03,-0.06,-0.07,-0.08,1721379007670,asphalt
-1.73,-1.7,10.45,-0.04,-0.01,-0.01,1721379007680,asphalt
-0.36,0.15,9.86,0.02,0.0,0.14,1721379007690,asphalt
1.29,-1.4,8.99,-0.02,-0.01,0.17,1721379007700,asphalt
1.02,4.25,8.94,0.07,-0.02,0.11,1721379007710,asphalt
1.45,0.39,9.66,-0.11,0.03,-0.06,1721379007720,asphalt
-1.89,4.08,11.51,0.02,-0.08,-0.12,1721379007730,asphalt
-0.87,-4.81,7.7,-0.2,0.0,-0.05,1721379007740,asphalt
-3.07,2.02,14.58,-0.06,0.01,0.05,1721379007750,asphalt
0.42,-0.76,7.92,-0.04,-0.07,0.15,1721379007760,asphalt
0.17,1.7,13.73,0.01,0.03,0.15,1721379007770,asphalt
2.03,2.01,8.96,0.14,-0.13,0.05,1721379007780,asphalt
1.67,1.76,11.89,0.02,0.05,-0.1,1721379007790,asphalt
0.48,0.21,9.43,0.11,-0.13,-0.12,1721379007800,asphalt
-0.44,0.55,10.94,0.0,0.06,-0.07,1721379007810,asphalt
-0.68,0.81,10.86,0.14,-0.09,0.04,1721379007820,asphalt
0.14,2.01,9.72,0.06,0.03,-0.0,1721379007830,asphalt
-0.83,4.28,10.9,0.12,-0.12,-0.05,1721379007840,asphalt
-1.12,4.61,10.13,-0.05,-0.02,-0.06,1721379007850,asphalt
-1.54,0.98,10.74,-0.16,-0.11,0.01,1721379007860,asphalt
-0.85,-1.96,9.59,-0.22,-0.02,0.11,1721379007870,asphalt
0.1,-3.37,9.23,-0.2,-0.05,0.13,1721379007880,asphalt
-0.65,1.09,9.86,-0.09,-0.05,0.08,1721379007890,asphalt
0.03,-1.15,9.78,-0.12,-0.08,-0.0,1721379007900,asphalt
-0.44,-1.91,10.17,-0.01,-0.09,0.03,1721379007910,asphalt
0.97,-0.39,10.82,-0.03,-0.01,0.1,1721379007920,asphalt
0.51,5.37,11.1,0.06,-0.05,0.06,1721379007930,asphalt
