AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
-2.79,-0.12,9.83,-0.03,-0.1,0.06,1721378802655,asphalt
-2.58,-0.11,11.41,0.03,-0.12,0.2,1721378802659,asphalt
-0.7,3.04,12.89,0.09,-0.04,0.38,1721378802668,asphalt
1.98,4.21,10.27,0.14,-0.11,0.36,1721378802678,asphalt
3.0,3.81,9.54,0.04,-0.1,0.15,1721378802688,asphalt
1.81,3.53,11.14,0.12,-0.1,-0.05,1721378802698,asphalt
-0.47,-0.88,8.85,-0.07,-0.11,-0.12,1721378802708,asphalt
-4.63,2.04,11.24,0.11,-0.14,0.0,1721378802718,asphalt
-2.32,0.8,8.09,0.06,-0.08,0.34,1721378802728,asphalt
-0.37,0.15,8.61,0.01,-0.11,0.48,1721378802738,asphalt
2.26,5.16,9.09,0.09,-0.07,0.31,1721378802747,asphalt
3.33,2.94,6.0,0.0,-0.2,0.01,1721378802757,asphalt
-0.11,-0.73,8.23,-0.09,-0.17,-0.17,1721378802767,asphalt
-1.23,-0.33,12.88,-0.05,-0.04,-0.08,1721378802777,asphalt
-3.5,-1.48,8.02,-0.01,-0.24,0.13,1721378802787,asphalt
-1.84,0.06,12.39,-0.16,0.05,0.21,1721378802797,asphalt
0.08,0.88,11.36,0.02,-0.29,0.25,1721378802807,asphalt
2.57,0.04,8.57,-0.1,-0.06,0.22,1721378802817,asphalt
3.62,0.3,10.28,-0.08,-0.18,-0.01,1721378802827,asphalt
1.31,-0.75,9.49,-0.05,-0.18,-0.17,1721378802837,asphalt
-0.19,-0.85,11.77,-0.1,-0.14,-0.05,1721378802847,asphalt
-1.24,-2.23,7.75,-0.03,-0.22,0.17,1721378802857,asphalt
0.38,-2.43,10.57,-0.15,0.01,0.23,1721378802867,asphalt
1.24,-1.38,11.45,-0.0,-0.16,0.23,1721378802877,asphalt
1.74,1.16,10.32,-0.02,-0.11,0.08,1721378802887,asphalt
1.09,2.15,10.77,-0.03,-0.19,-0.03,1721378802897,asphalt
0.86,2.33,10.23,-0.01,-0.14,0.03,1721378802907,asphalt
1.12,-0.92,11.85,-0.05,-0.06,0.08,1721378802917,asphalt
0.77,-0.83,9.56,0.02,-0.13,0.07,1721378802927,asphalt
0.72,-1.03,11.08,0.03,-0.05,0.02,1721378802937,asphalt
-0.11,-1.81,9.37,0.05,-0.14,0.05,1721378802947,asphalt
0.09,1.74,11.72,0.06,-0.04,0.12,1721378802957,asphalt
1.07,1.79,9.02,0.07,-0.14,0.21,1721378802967,asphalt
1.81,2.94,9.7,-0.02,-0.01,0.14,1721378802977,asphalt
2.51,0.04,10.93,0.02,-0.07,-0.03,1721378802987,asphalt
1.91,-3.54,9.2,0.04,-0.08,-0.13,1721378802997,asphalt
0.56,0.06,11.98,0.15,-0.0,-0.15,1721378803007,asphalt
0.67,2.83,7.57,0.2,-0.08,-0.0,1721378803017,asphalt
1.87,2.0,12.88,0.09,0.08,0.07,1721378803027,asphalt
2.33,4.38,11.55,0.18,-0.04,-0.12,1721378803037,asphalt
2.01,-1.26,10.15,0.0,0.04,-0.35,1721378803047,asphalt
-1.62,-1.12,12.32,0.15,-0.07,-0.37,1721378803057,asphalt
-2.59,3.2,8.73,0.21,0.03,-0.19,1721378803067,asphalt
-1.43,2.02,7.92,0.19,0.05,0.06,1721378803077,asphalt
1.14,1.95,8.57,0.16,0.11,0.11,1721378803087,asphalt
4.07,3.2,9.36,0.11,0.13,-0.04,1721378803097,asphalt
3.97,-0.47,8.8,0.01,0.06,-0.37,1721378803107,asphalt
0.79,-0.79,12.39,0.04,0.11,-0.56,1721378803117,asphalt
-2.11,0.16,10.49,0.13,-0.01,-0.47,1721378803127,asphalt
-2.77,2.43,9.46,0.06,0.13,-0.16,1721378803137,asphalt
0.26,2.6,9.91,0.0,0.12,-0.04,1721378803147,asphalt
2.4,1.06,10.01,-0.06,0.12,-0.18,1721378803157,asphalt
2.38,-1.82,8.11,-0.11,0.11,-0.42,1721378803167,asphalt
-0.56,-3.05,10.47,-0.06,0.08,-0.51,1721378803177,asphalt
-2.08,-0.13,10.42,-0.01,0.12,-0.28,1721378803187,asphalt
-2.99,1.19,7.61,0.0,0.12,-0.11,1721378803197,asphalt
-0.5,3.99,10.58,-0.06,0.22,-0.01,1721378803207,asphalt
1.34,1.01,10.2,-0.11,0.15,-0.18,1721378803217,asphalt
1.16,-1.87,10.25,-0.09,0.04,-0.42,1721378803227,asphalt
-0.29,-1.5,13.22,-0.12,0.14,-0.47,1721378803237,asphalt
-2.89,-0.98,8.53,0.06,0.02,-0.32,1721378803247,asphalt
-1.92,-2.14,12.96,-0.07,0.32,-0.07,1721378803257,asphalt
-0.34,-1.87,9.13,0.04,0.02,0.03,1721378803267,asphalt
1.46,1.97,13.49,-0.06,0.39,-0.12,1721378803277,asphalt
0.73,0.87,7.96,0.04,-0.09,-0.3,1721378803287,asphalt
-1.49,-1.01,10.55,-0.06,0.28,-0.39,1721378803297,asphalt
-2.52,-0.19,9.68,0.07,0.01,-0.14,1721378803307,asphalt
-2.42,-2.27,7.57,-0.03,0.17,0.12,1721378803317,asphalt
0.57,-0.27,9.75,-0.0,0.13,0.18,1721378803327,asphalt
2.06,-4.51,9.46,-0.14,0.15,-0.01,1721378803337,asphalt
0.34,0.18,13.56,0.03,0.11,-0.25,1721378803347,asphalt
-0.89,-1.25,9.2,0.02,0.02,-0.24,1721378803357,asphalt
-3.13,1.71,11.22,0.06,0.08,-0.09,1721378803367,asphalt
-1.48,0.67,7.23,0.0,0.09,0.08,1721378803377,asphalt
-1.7,0.18,9.32,-0.02,0.07,0.13,1721378803387,asphalt
0.09,-1.78,10.58,-0.07,0.04,0.08,1721378803397,asphalt
-1.95,-0.95,9.87,-0.0,-0.03,-0.03,1721378803407,asphalt
-2.17,3.81,8.51,0.06,-0.06,-0.04,1721378803417,asphalt
-2.01,1.4,10.21,-0.06,-0.06,0.12,1721378803427,asphalt
-1.39,4.48,12.71,0.01,-0.08,0.3,1721378803437,asphalt
1.72,1.64,11.7,-0.09,0.01,0.24,1721378803447,asphalt
0.7,1.98,11.3,0.06,-0.18,0.15,1721378803457,asphalt
0.17,-0.75,6.62,0.01,-0.12,0.01,1721378803467,asphalt
-1.74,2.18,14.56,0.08,-0.12,0.08,1721378803477,asphalt
-0.61,3.14,9.15,0.16,-0.18,0.3,1721378803487,asphalt
1.98,1.31,12.71,-0.01,-0.02,0.34,1721378803497,asphalt
2.99,4.88,10.71,0.17,-0.2,0.15,1721378803507,asphalt
2.94,2.15,8.89,0.06,-0.06,-0.17,1721378803517,asphalt
-0.88,1.5,11.77,0.14,-0.21,-0.31,1721378803527,asphalt
-4.42,1.24,7.54,0.13,-0.2,-0.05,1721378803537,asphalt
-3.61,2.43,10.79,0.1,-0.07,0.38,1721378803547,asphalt
0.65,1.3,6.69,0.09,-0.17,0.5,1721378803557,asphalt
3.81,1.66,9.74,0.0,-0.03,0.21,1721378803567,asphalt
3.41,3.09,8.37,0.1,-0.27,-0.16,1721378803577,asphalt
-0.28,-0.78,7.52,-0.04,-0.15,-0.32,1721378803587,asphalt
-3.0,0.37,8.43,0.04,-0.17,-0.08,1721378803597,asphalt
-0.94,-1.68,6.79,-0.16,-0.06,0.24,1721378803607,asphalt
0.76,-2.22,12.6,-0.17,-0.12,0.26,1721378803617,asphalt
3.27,0.61,11.57,-0.01,-0.16,0.05,1721378803627,asphalt
3.11,-1.87,7.52,-0.18,-0.2,-0.19,1721378803637,asphalt
0.84,-0.83,14.71,-0.12,-0.11,-0.29,1721378803647,asphalt
-0.75,-0.63,10.47,-0.16,-0.19,-0.21,1721378803657,asphalt
-1.87,-1.69,12.94,-0.09,-0.04,-0.05,1721378803667,asphalt
0.77,-3.4,7.08,-0.07,-0.09,0.03,1721378803677,asphalt
1.39,1.07,12.34,-0.05,0.04,-0.08,1721378803687,asphalt
