AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
0.43,-1.92,7.43,-0.16,0.2,0.07,1721201516836,asphalt
1.13,-2.38,13.2,-0.21,0.27,-0.03,1721201516840,asphalt
-0.36,-0.65,16.55,0.04,0.05,-0.24,1721201516849,asphalt
-2.74,2.81,4.72,0.21,0.06,-0.09,1721201516859,asphalt
-1.51,-2.98,5.61,-0.12,0.22,-0.12,1721201516868,asphalt
-2.77,3.21,12.73,0.22,-0.07,0.07,1721201516878,asphalt
-1.11,2.01,7.8,0.07,0.22,0.14,1721201516887,asphalt
-0.83,-1.92,13.4,0.05,0.06,0.06,1721201516897,asphalt
0.24,-0.2,5.69,0.15,0.07,-0.03,1721201516907,asphalt
0.88,-1.61,10.06,-0.14,0.12,-0.02,1721201516917,asphalt
-1.6,0.55,13.82,0.02,-0.06,-0.23,1721201516927,asphalt
-1.89,2.54,6.68,0.32,-0.0,-0.18,1721201516937,asphalt
-1.6,-4.02,3.21,-0.11,0.28,0.15,1721201516947,asphalt
-2.5,2.8,18.78,-0.01,0.16,0.05,1721201516957,asphalt
-1.47,-2.58,9.81,0.11,-0.18,-0.01,1721201516967,asphalt
-2.17,1.24,11.53,-0.08,0.22,0.13,1721201516977,asphalt
1.04,1.19,15.85,0.1,0.11,0.14,1721201516987,asphalt
1.14,-0.74,9.41,0.12,-0.08,0.08,1721201516997,asphalt
-0.1,-1.46,9.78,-0.07,0.02,0.0,1721201517007,asphalt
-0.56,8.52,13.49,0.31,-0.01,-0.07,1721201517017,asphalt
0.63,0.68,4.18,0.09,0.05,0.0,1721201517027,asphalt
-1.82,-1.37,9.94,-0.02,-0.05,0.04,1721201517037,asphalt
-1.6,2.15,7.22,0.19,-0.03,0.02,1721201517047,asphalt
0.08,-0.34,7.24,-0.12,0.14,0.04,1721201517057,asphalt
-1.09,1.14,16.63,0.05,-0.11,0.1,1721201517067,asphalt
0.64,-1.82,9.48,0.15,-0.0,0.1,1721201517077,asphalt
0.17,2.24,9.9,0.22,-0.05,0.04,1721201517087,asphalt
0.38,1.79,3.64,0.07,0.01,0.01,1721201517097,asphalt
0.08,-2.9,9.68,-0.22,-0.0,-0.01,1721201517107,asphalt
-1.38,4.24,13.94,0.25,-0.14,-0.05,1721201517117,asphalt
0.2,-0.99,3.55,0.08,0.1,0.09,1721201517127,asphalt
0.62,-3.15,12.74,-0.27,0.09,0.16,1721201517137,asphalt
0.73,6.73,17.61,0.17,-0.05,-0.05,1721201517147,asphalt
0.57,0.7,7.94,-0.01,-0.01,-0.09,1721201517157,asphalt
-2.32,0.52,10.17,-0.09,-0.09,-0.1,1721201517167,asphalt
-2.36,-2.84,3.1,-0.12,-0.19,0.12,1721201517177,asphalt
-0.8,0.08,17.44,-0.29,0.18,0.18,1721201517187,asphalt
0.27,6.86,12.82,0.26,-0.27,0.21,1721201517197,asphalt
2.88,-1.42,2.05,-0.07,0.08,0.03,1721201517207,asphalt
0.98,-1.26,13.34,-0.26,-0.05,-0.06,1721201517217,asphalt
-2.5,4.3,13.31,0.05,-0.18,-0.14,1721201517227,asphalt
-2.38,0.99,4.64,-0.05,-0.05,-0.02,1721201517237,asphalt
-1.97,-6.95,5.09,-0.34,-0.17,0.31,1721201517247,asphalt
-0.39,4.69,13.03,-0.03,0.02,0.17,1721201517257,asphalt
4.72,-1.9,7.73,-0.11,0.09,0.1,1721201517267,asphalt
0.82,1.75,12.42,-0.2,-0.1,-0.24,1721201517277,asphalt
-2.33,-1.43,8.51,-0.22,-0.18,-0.3,1721201517287,asphalt
-3.44,-5.05,6.2,-0.37,-0.05,0.04,1721201517297,asphalt
-2.16,-3.67,15.16,-0.26,-0.02,0.13,1721201517307,asphalt
-0.92,-5.17,15.1,-0.25,-0.13,0.16,1721201517317,asphalt
-0.74,6.28,12.68,-0.0,-0.1,0.1,1721201517327,asphalt
1.02,7.45,10.35,0.05,0.16,0.04,1721201517337,asphalt
1.24,-5.02,5.13,-0.12,-0.2,-0.03,1721201517347,asphalt
-1.77,-7.18,7.42,-0.18,0.01,-0.11,1721201517357,asphalt
-3.04,6.71,13.18,0.04,-0.06,-0.24,1721201517367,asphalt
0.41,20.58,19.51,0.04,-0.1,0.16,1721201517377,asphalt
1.92,-0.68,9.21,-0.06,0.0,0.19,1721201517387,asphalt
1.58,-19.0,0.73,-0.35,-0.0,-0.46,1721201517397,asphalt
-6.22,2.6,8.61,-0.02,-0.23,-0.5,1721201517407,asphalt
-3.0,1.16,8.21,0.03,0.05,0.07,1721201517417,asphalt
0.88,3.78,14.14,0.14,0.15,0.36,1721201517427,asphalt
4.47,-1.78,6.36,0.05,-0.07,0.11,1721201517437,asphalt
2.17,-7.6,9.22,-0.43,-0.1,-0.33,1721201517447,asphalt
-1.2,3.41,18.96,0.12,-0.06,-0.62,1721201517457,asphalt
-4.54,-3.03,-0.58,0.14,-0.22,-0.17,1721201517467,asphalt
-2.39,1.02,5.1,-0.02,0.18,0.28,1721201517477,asphalt
4.46,-2.17,11.22,0.18,0.19,0.27,1721201517487,asphalt
3.93,2.56,10.44,0.14,0.08,-0.32,1721201517497,asphalt
0.77,0.73,13.02,0.02,-0.09,-0.57,1721201517507,asphalt
-3.43,-2.1,9.72,-0.01,-0.05,-0.29,1721201517517,asphalt
-3.07,5.41,1.47,0.44,-0.01,0.22,1721201517527,asphalt
1.53,-18.94,-2.55,-0.67,0.24,0.22,1721201517537,asphalt
-2.39,-5.83,64.68,-0.45,0.1,-0.46,1721201517547,asphalt
-1.45,28.46,35.99,1.11,-0.26,-0.24,1721201517557,asphalt
-2.64,-18.18,-33.04,0.84,-0.37,0.27,1721201517567,asphalt
-0.65,-2.39,11.28,-0.95,1.94,0.18,1721201517577,asphalt
6.27,10.15,41.84,0.19,-0.31,-0.13,1721201517587,asphalt
-1.56,-6.69,-7.74,0.36,-0.38,-0.13,1721201517597,asphalt
-1.58,7.65,21.8,0.07,0.1,-0.04,1721201517607,asphalt
1.39,5.88,10.89,0.6,-0.19,0.04,1721201517617,asphalt
2.69,-4.76,-1.73,0.23,0.35,-0.06,1721201517627,asphalt
3.27,0.5,7.44,0.32,0.23,-0.22,1721201517637,asphalt
-1.77,2.08,9.4,0.17,0.21,-0.3,1721201517647,asphalt
-3.88,14.77,17.99,0.43,-0.03,-0.08,1721201517657,asphalt
-0.9,-0.54,4.64,0.22,0.13,0.18,1721201517667,asphalt
0.71,-12.02,5.64,-0.19,0.16,0.02,1721201517677,asphalt
-0.44,6.45,13.1,0.2,0.03,-0.12,1721201517687,asphalt
0.66,-3.42,2.98,-0.2,0.16,-0.14,1721201517697,asphalt
-2.58,0.16,12.84,0.01,-0.01,-0.1,1721201517707,asphalt
-0.67,0.71,2.33,0.16,0.14,0.12,1721201517717,asphalt
2.0,1.6,11.48,-0.27,0.31,0.15,1721201517727,asphalt
2.16,3.05,17.17,-0.01,-0.02,-0.09,1721201517737,asphalt
1.51,-4.18,5.46,-0.22,0.08,-0.28,1721201517747,asphalt
-0.62,-4.0,14.94,-0.23,0.09,-0.19,1721201517757,asphalt
-1.56,-1.25,11.19,0.09,0.05,-0.12,1721201517767,asphalt
-1.77,3.77,7.08,-0.03,0.11,0.02,1721201517777,asphalt
-1.02,7.28,8.72,-0.05,0.13,-0.02,1721201517787,asphalt
-0.45,-4.57,0.96,-0.29,0.0,-0.02,1721201517797,asphalt
-1.59,-1.86,5.56,-0.19,0.02,0.07,1721201517807,asphalt
0.94,-6.85,-5.43,-0.34,0.09,0.16,1721201517817,asphalt
6.62,-10.07,32.08,-1.04,0.67,-0.19,1721201517827,asphalt
0.6,28.99,49.55,0.58,-0.33,-0.33,1721201517837,asphalt
-5.13,-6.65,-13.8,0.45,-0.5,-0.24,1721201517847,asphalt
-1.71,-7.91,-2.19,-1.45,0.77,0.11,1721201517857,asphalt
7.83,11.89,19.4,-0.23,0.4,0.27,1721201517867,asphalt
1.88,-5.13,5.94,0.59,0.32,-0.18,1721201517877,asphalt
2.45,4.83,1.34,-0.48,0.27,-0.25,1721201517887,asphalt
-0.85,-0.45,15.4,-0.1,-0.13,-0.2,1721201517897,asphalt
-3.31,-4.49,18.14,0.07,0.09,0.19,1721201517907,asphalt
-0.39,9.88,14.05,0.29,0.13,0.16,1721201517917,asphalt
1.85,2.76,5.59,0.16,-0.05,-0.05,1721201517927,asphalt
0.27,-4.87,6.52,0.05,-0.17,-0.1,1721201517937,asphalt
-0.45,-2.9,8.33,-0.01,0.15,-0.16,1721201517947,asphalt
0.12,2.64,16.08,0.05,0.13,-0.22,1721201517957,asphalt
-2.72,4.83,11.94,0.28,-0.12,-0.17,1721201517967,asphalt
-3.71,-4.5,3.17,0.05,-0.0,0.09,1721201517977,asphalt
0.48,-1.41,11.16,0.07,0.2,0.26,1721201517987,asphalt
4.01,1.03,13.72,0.06,0.12,-0.02,1721201517997,asphalt
1.06,2.89,15.55,-0.01,-0.03,-0.43,1721201518007,asphalt
-3.37,0.91,8.44,0.21,-0.16,-0.47,1721201518017,asphalt
-4.72,-4.22,1.52,0.02,0.04,-0.08,1721201518027,asphalt
-2.45,-2.04,10.54,-0.06,0.14,0.26,1721201518037,asphalt
2.28,1.59,12.65,0.16,0.13,0.16,1721201518047,asphalt
2.13,-0.07,6.3,0.05,0.01,-0.18,1721201518057,asphalt
-0.76,4.88,10.73,0.06,0.06,-0.43,1721201518067,asphalt
-1.74,1.7,9.01,0.1,0.07,-0.31,1721201518077,asphalt
-3.03,-3.68,10.3,-0.16,-0.01,-0.02,1721201518087,asphalt
-1.92,-2.84,13.69,-0.01,-0.03,0.1,1721201518097,asphalt
-0.24,3.45,13.47,0.11,0.03,-0.02,1721201518107,asphalt
0.2,2.1,6.31,0.11,-0.14,-0.04,1721201518117,asphalt
-1.65,-1.18,4.36,0.0,-0.06,-0.08,1721201518127,asphalt
-2.34,0.8,8.04,0.02,0.16,-0.03,1721201518137,asphalt
0.06,-4.94,12.24,-0.29,0.02,0.04,1721201518147,asphalt
0.25,4.95,22.43,0.15,-0.1,0.06,1721201518157,asphalt
0.96,0.29,2.27,0.22,-0.15,0.15,1721201518167,asphalt
0.97,1.75,11.71,-0.18,0.24,-0.05,1721201518177,asphalt
0.58,-1.26,12.63,0.09,-0.31,-0.14,1721201518187,asphalt
-2.97,0.85,5.39,-0.12,-0.02,-0.05,1721201518197,asphalt
-2.4,4.17,13.91,0.03,0.04,0.09,1721201518207,asphalt
0.45,-1.1,8.53,-0.01,-0.03,0.1,1721201518217,asphalt
-0.32,3.32,10.24,-0.05,-0.17,0.08,1721201518227,asphalt
-0.18,-0.67,7.48,-0.14,-0.05,-0.02,1721201518237,asphalt
-2.24,-0.61,13.53,-0.23,-0.05,-0.1,1721201518247,asphalt
-2.99,3.99,12.86,0.12,-0.2,0.11,1721201518257,asphalt
-0.8,1.35,4.96,-0.06,-0.06,0.33,1721201518267,asphalt
1.78,2.64,12.73,-0.04,-0.06,0.32,1721201518277,asphalt
2.99,1.04,12.02,0.03,-0.11,0.04,1721201518287,asphalt
0.42,-0.07,7.75,-0.02,-0.26,-0.04,1721201518297,asphalt
-2.12,-4.48,7.26,-0.3,-0.1,-0.01,1721201518307,asphalt
-2.45,3.79,17.29,-0.02,-0.22,0.15,1721201518317,asphalt
0.73,1.0,10.16,0.09,-0.13,0.34,1721201518327,asphalt
1.4,-2.92,7.49,-0.23,-0.12,0.17,1721201518337,asphalt
0.19,0.69,10.21,-0.1,-0.34,-0.1,1721201518347,asphalt
0.65,-1.52,8.21,-0.14,-0.01,-0.07,1721201518357,asphalt
-0.58,-2.4,11.61,-0.09,-0.11,0.08,1721201518367,asphalt
-0.84,-5.75,8.44,-0.18,-0.22,0.21,1721201518377,asphalt
0.41,5.29,13.55,0.08,-0.11,0.14,1721201518387,asphalt
3.52,-3.44,7.06,-0.07,-0.07,-0.02,1721201518397,asphalt
2.45,-0.66,16.52,-0.16,-0.05,-0.09,1721201518407,asphalt
-1.39,10.19,11.54,0.23,-0.19,-0.28,1721201518417,asphalt
-0.96,-5.57,0.77,-0.18,-0.16,-0.15,1721201518427,asphalt
-0.45,-2.88,16.07,-0.22,0.02,-0.04,1721201518437,asphalt
0.0,1.59,16.94,0.04,-0.24,-0.14,1721201518447,asphalt
-0.19,4.46,6.32,0.19,-0.01,-0.12,1721201518457,asphalt
0.05,1.46,3.05,0.04,0.0,-0.1,1721201518467,asphalt
0.95,-1.02,9.89,-0.05,0.02,-0.18,1721201518477,asphalt
0.87,0.63,13.13,0.03,-0.02,-0.19,1721201518487,asphalt
-1.15,-2.24,11.64,0.02,-0.13,-0.25,1721201518497,asphalt
-0.98,-1.91,12.19,0.06,-0.04,-0.13,1721201518507,asphalt
-0.17,1.81,8.61,0.08,0.03,-0.16,1721201518517,asphalt
0.12,2.71,12.07,0.19,-0.05,-0.17,1721201518527,asphalt
0.66,-5.46,4.86,0.0,-0.11,-0.07,1721201518537,asphalt
0.25,3.97,16.95,0.18,0.09,-0.17,1721201518547,asphalt
-0.29,1.17,9.69,0.18,-0.09,-0.31,1721201518557,asphalt
-2.2,-0.38,6.62,0.01,-0.03,-0.15,1721201518567,asphalt
