AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
-2.76,4.81,10.58,0.12,0.01,-0.56,1721378757659,asphalt
-4.02,1.64,8.02,0.07,-0.15,-0.54,1721378757663,asphalt
-4.88,3.8,11.88,-0.11,0.33,-0.2,1721378757673,asphalt
-0.96,-1.34,13.06,-0.08,0.12,0.21,1721378757683,asphalt
2.51,-2.38,11.54,-0.11,0.31,0.09,1721378757693,asphalt
5.38,2.05,12.7,0.08,0.28,-0.28,1721378757703,asphalt
1.67,0.66,6.56,0.15,0.05,-0.57,1721378757713,asphalt
-2.75,2.94,12.04,0.07,0.39,-0.66,1721378757723,asphalt
-4.63,4.0,9.52,0.24,0.01,-0.2,1721378757733,asphalt
-3.07,-1.22,7.37,-0.01,0.3,0.18,1721378757743,asphalt
2.55,-2.31,9.48,0.1,0.32,0.14,1721378757753,asphalt
4.14,2.63,8.98,0.11,0.3,-0.18,1721378757763,asphalt
1.14,0.78,9.27,0.06,0.24,-0.48,1721378757773,asphalt
-4.99,-0.83,9.74,-0.1,0.22,-0.52,1721378757783,asphalt
-6.42,1.99,12.66,-0.01,0.4,-0.27,1721378757793,asphalt
-2.71,-0.92,11.62,-0.05,0.23,0.19,1721378757803,asphalt
0.78,2.34,9.68,0.0,0.3,0.34,1721378757813,asphalt
3.97,-1.24,5.29,0.01,0.24,-0.09,1721378757823,asphalt
1.23,-2.94,10.51,-0.11,0.21,-0.5,1721378757833,asphalt
-3.76,1.55,14.66,0.03,0.17,-0.52,1721378757843,asphalt
-4.77,-2.05,10.99,-0.07,0.23,-0.23,1721378757853,asphalt
-5.38,-0.21,9.57,0.04,0.09,0.1,1721378757863,asphalt
0.52,0.61,3.15,0.08,0.35,0.21,1721378757873,asphalt
2.38,-0.16,10.53,-0.11,0.38,0.0,1721378757883,asphalt
-2.2,-1.31,9.74,-0.07,-0.07,-0.25,1721378757893,asphalt
-0.89,4.03,16.6,-0.13,0.55,-0.23,1721378757903,asphalt
-2.37,-1.16,9.51,0.02,-0.28,-0.06,1721378757913,asphalt
-2.22,0.01,9.4,-0.08,0.36,0.03,1721378757923,asphalt
-0.62,-2.14,10.27,0.04,0.03,0.19,1721378757933,asphalt
-2.36,2.64,12.96,-0.03,0.32,0.01,1721378757943,asphalt
-1.0,5.09,13.26,0.14,0.12,-0.01,1721378757953,asphalt
-0.54,4.47,10.5,0.03,0.13,0.05,1721378757963,asphalt
-0.34,-1.33,8.02,0.01,0.01,0.15,1721378757973,asphalt
-0.08,-1.06,9.83,-0.0,0.18,0.22,1721378757983,asphalt
2.12,4.15,10.45,0.16,0.21,0.22,1721378757993,asphalt
3.8,2.68,11.07,0.1,0.21,0.09,1721378758003,asphalt
-2.34,2.81,8.21,0.22,-0.19,-0.09,1721378758013,asphalt
-2.16,1.66,9.19,-0.03,0.34,-0.09,1721378758023,asphalt
-4.4,1.45,10.39,0.11,-0.12,0.23,1721378758033,asphalt
-0.97,-1.05,6.45,-0.05,0.22,0.44,1721378758043,asphalt
0.86,0.5,11.75,-0.03,0.03,0.42,1721378758053,asphalt
0.71,-3.3,5.92,-0.13,-0.05,0.13,1721378758063,asphalt
-2.4,1.66,15.79,-0.1,0.16,-0.01,1721378758073,asphalt
-3.11,0.3,10.15,-0.02,-0.21,0.32,1721378758083,asphalt
-4.46,-0.54,6.71,-0.08,-0.08,0.59,1721378758093,asphalt
1.87,-0.86,7.87,-0.13,0.16,0.59,1721378758103,asphalt
3.39,-1.95,10.15,-0.21,-0.09,0.37,1721378758113,asphalt
2.43,0.11,13.84,-0.14,0.08,0.03,1721378758123,asphalt
-0.39,-0.82,11.85,0.01,-0.24,-0.11,1721378758133,asphalt
-4.6,1.83,8.56,-0.03,-0.15,0.13,1721378758143,asphalt
-1.72,2.38,8.25,-0.04,-0.04,0.63,1721378758153,asphalt
1.7,-2.57,6.94,-0.16,-0.1,0.76,1721378758163,asphalt
4.09,-1.44,11.26,-0.13,0.03,0.36,1721378758173,asphalt
4.05,-0.37,13.21,-0.07,-0.14,-0.08,1721378758183,asphalt
-0.71,3.39,13.05,0.03,-0.22,-0.09,1721378758193,asphalt
-3.84,2.23,10.25,0.03,-0.19,0.15,1721378758203,asphalt
-1.42,1.15,11.76,-0.05,-0.06,0.55,1721378758214,asphalt
3.04,0.54,11.62,-0.05,0.01,0.65,1721378758223,asphalt
5.0,-1.98,6.68,0.05,-0.15,0.3,1721378758233,asphalt
3.93,-2.75,9.27,-0.0,-0.01,-0.1,1721378758243,asphalt
0.2,-1.61,12.38,0.13,-0.28,-0.09,1721378758253,asphalt
-1.37,5.17,11.91,0.13,0.02,0.11,1721378758263,asphalt
2.42,1.92,9.71,0.15,-0.09,0.37,1721378758273,asphalt
4.27,-3.95,8.39,0.02,0.06,0.23,1721378758283,asphalt
3.9,-1.04,9.67,0.18,-0.01,-0.06,1721378758293,asphalt
1.33,-1.32,7.87,0.23,-0.08,-0.14,1721378758303,asphalt
-0.49,1.34,10.94,0.23,0.0,-0.02,1721378758313,asphalt
0.39,4.1,8.72,0.11,0.07,0.16,1721378758323,asphalt
1.97,0.58,11.55,-0.05,0.11,0.24,1721378758333,asphalt
1.48,-1.79,10.52,0.11,-0.04,0.04,1721378758343,asphalt
2.06,-2.81,8.03,0.14,0.06,-0.19,1721378758353,asphalt
-0.14,-0.85,8.55,0.17,0.02,-0.18,1721378758363,asphalt
-0.96,-1.69,9.85,0.06,0.08,0.01,1721378758373,asphalt
