AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time
-2.6,-4.1,10.04,-0.12,0.14,-0.37,1721665419156
-3.01,-4.73,13.84,-0.2,0.18,-0.36,1721665419162
-2.77,1.57,17.24,-0.12,0.16,-0.17,1721665419172
-1.3,1.43,8.89,-0.19,0.17,-0.08,1721665419182
-0.48,-2.44,11.47,-0.42,0.29,-0.19,1721665419192
-1.29,-2.0,16.1,-0.29,0.22,-0.24,1721665419202
-1.44,0.74,10.17,-0.16,0.14,-0.22,1721665419212
-1.4,-0.45,5.0,-0.05,0.16,-0.1,1721665419222
-1.77,-1.57,9.6,-0.19,0.22,0.01,1721665419232
-0.87,0.34,12.12,-0.12,0.17,-0.02,1721665419242
0.05,-0.64,11.13,-0.23,0.14,0.02,1721665419252
-0.08,-0.78,10.8,-0.3,0.19,0.01,1721665419262
0.56,1.38,11.11,-0.25,0.17,0.02,1721665419272
-0.83,0.57,9.85,-0.18,0.19,-0.13,1721665419282
-1.02,-1.04,8.68,-0.07,0.09,-0.07,1721665419292
-1.89,-1.19,10.67,-0.08,0.15,-0.01,1721665419302
-1.86,-2.06,12.59,-0.16,0.13,0.13,1721665419312
-2.01,3.33,13.33,-0.23,0.12,0.14,1721665419322
-2.43,2.35,12.02,-0.07,0.06,0.09,1721665419332
-1.01,2.02,11.09,-0.04,0.02,0.17,1721665419342
-0.64,4.32,11.69,0.0,0.06,0.26,1721665419352
-0.09,2.29,9.17,0.09,0.0,0.25,1721665419362
0.17,-0.22,8.62,0.08,0.02,0.18,1721665419372
0.18,3.43,8.36,0.16,0.02,0.15,1721665419382
-0.97,-2.92,9.73,0.17,-0.05,0.04,1721665419392
-1.89,3.98,10.3,0.16,-0.04,0.13,1721665419402
-1.41,1.05,10.51,0.1,-0.0,0.28,1721665419412
-1.07,1.59,8.7,0.1,-0.03,0.3,1721665419422
0.28,2.65,10.28,0.14,-0.08,0.23,1721665419432
0.59,2.17,9.9,0.17,-0.07,0.19,1721665419442
0.11,0.12,8.91,0.12,-0.12,0.2,1721665419452
0.67,4.06,9.1,0.12,-0.05,0.22,1721665419462
1.23,3.31,9.98,0.19,-0.08,0.17,1721665419472
0.45,-0.98,9.68,0.12,-0.12,0.05,1721665419482
0.14,0.51,9.84,0.07,-0.11,0.05,1721665419492
-0.73,0.69,8.76,-0.02,-0.12,0.12,1721665419502
-0.77,3.54,10.94,-0.01,-0.09,0.14,1721665419512
0.01,1.27,12.77,0.04,-0.12,0.11,1721665419522
-0.28,0.67,9.31,0.04,-0.18,0.09,1721665419532
-0.61,1.7,8.71,-0.04,-0.11,0.14,1721665419542
-1.32,0.86,8.07,0.04,-0.15,0.03,1721665419552
-2.26,-2.29,10.02,0.01,-0.17,-0.05,1721665419562
-3.69,2.33,12.98,-0.17,-0.19,0.15,1721665419572
-3.08,1.3,10.56,-0.11,-0.18,0.33,1721665419582
0.14,4.18,9.35,-0.16,-0.12,0.36,1721665419592
1.96,0.73,9.98,-0.2,-0.18,0.21,1721665419602
1.61,-3.97,8.33,-0.24,-0.24,0.07,1721665419612
0.98,-3.22,9.31,-0.12,-0.16,-0.03,1721665419622
-0.43,-3.25,11.5,-0.16,-0.16,-0.08,1721665419632
-1.84,0.93,11.93,-0.07,-0.25,-0.05,1721665419642
-1.57,1.98,10.7,-0.07,-0.12,0.15,1721665419652
